date,CAT,MMM,PG,BA,VZ,WMT,GS,DD,INTC,TRV,MRK,MCD,CSCO,JPM,NKE,CVX,UNH,WBA,AAPL,PFE,IBM,KO,JNJ,XOM,AXP,HD,RTX,V,DIS,MSFT
2008-03-19,47.48143005371094,40.10084915161133,42.1331787109375,54.09452819824219,14.193681716918944,11.901863098144531,127.17072296142578,32.20542907714844,13.014485359191896,31.22044563293457,23.086509704589844,33.932891845703125,16.45336151123047,27.80343246459961,12.57426643371582,43.43134689331055,28.55994415283203,22.749357223510746,3.91535210609436,10.159934043884276,64.91316986083984,18.092832565307617,40.1766357421875,46.90885162353516,32.275001525878906,17.789188385009766,29.209346771240234,12.605216026306152,26.29606437683105,20.830699920654297
2008-03-20,47.53941345214844,39.3489875793457,43.10248947143555,55.088775634765625,14.593673706054688,12.47610092163086,137.20753479003906,32.26736068725586,13.421768188476562,32.14878463745117,23.285202026367188,34.41349411010742,16.655073165893555,30.094745635986328,13.680593490600586,44.13141632080078,28.375164031982425,22.999496459960938,4.024053573608398,10.150070190429688,65.68478393554688,18.41871833801269,40.48625564575195,47.22551727294922,35.33343505859375,18.597795486450195,29.31555938720703,14.356563568115234,26.85161781311035,21.2382869720459
2008-03-24,48.96259689331055,39.68202590942383,43.47529220581055,56.186153411865234,14.93709945678711,12.56984519958496,136.63458251953125,33.311092376708984,13.65626049041748,32.08151626586914,23.76316261291504,35.26719665527344,17.24005126953125,30.474449157714844,14.04868984222412,44.55572128295898,28.688486099243164,24.143836975097656,4.21307373046875,10.159934043884276,66.0899887084961,18.46096992492676,40.18282318115234,47.75334548950195,36.43231201171875,19.39313507080078,29.88053131103516,13.325836181640623,26.969457626342773,21.231006622314453
2008-03-25,49.35544967651367,39.85359573364258,43.20812225341797,55.8989143371582,14.90881633758545,12.433908462524414,137.20753479003906,33.48798751831055,13.742652893066406,32.12860870361328,23.988697052001957,35.53911209106445,17.314008712768555,30.153675079345703,13.904296875,44.8368034362793,28.34303092956543,23.768638610839844,4.256854057312012,10.24373722076416,65.48492431640625,18.53036880493164,39.9722900390625,47.3366584777832,36.50917053222656,19.06174087524414,29.804073333740234,14.11115264892578,27.003124237060547,21.20916748046875
2008-03-26,49.81911087036133,39.69210815429688,43.27024459838867,56.19351577758789,14.601750373840332,12.39875030517578,134.03761291503906,33.44376754760742,13.48964500427246,31.98731803894043,24.00480842590332,35.15968704223633,16.661802291870117,28.877077102661133,13.47722053527832,45.059547424316406,27.395050048828125,23.73737907409668,4.380049705505371,10.19936752319336,64.8965072631836,18.451913833618164,40.065162658691406,47.92555618286133,34.85700607299805,18.66407585144043,29.57044219970703,14.26955223083496,26.73377227783203,20.78703117370605
2008-03-27,49.606590270996094,39.28842544555664,43.12734603881836,54.66162872314453,14.529025077819824,12.27452564239502,128.43106079101562,32.98759078979492,13.014485359191896,31.926795959472656,24.04778289794922,35.064842224121094,16.258359909057617,28.05875396728516,13.418251991271973,44.76255798339844,27.31472396850586,23.299640655517575,4.234813690185547,10.135283470153809,64.12493133544922,18.50018882751465,40.0156364440918,47.89225006103516,34.44970703125,18.4188289642334,29.485475540161133,14.035293579101562,26.41390991210937,20.41583633422852
2008-03-28,49.64524841308594,39.33384704589844,43.14596557617188,54.10928726196289,14.484580993652344,12.21592903137207,125.61246490478516,32.79081726074219,12.829357147216797,31.899877548217773,23.90279006958008,35.08380889892578,16.19112205505371,27.960548400878903,13.393842697143556,44.81558609008789,27.63607215881348,23.405948638916016,4.318148612976074,10.105707168579102,63.59759521484375,18.388545989990234,39.74316787719727,47.34775161743164,33.158721923828125,18.147092819213867,29.12014579772949,14.001832962036133,26.09404754638672,20.31393814086914
2008-03-31,50.41801834106445,39.93935775756836,43.53741455078125,54.772098541259766,14.727007865905762,12.347185134887695,126.33047485351562,32.96075439453125,13.070026397705078,32.18913269042969,20.379932403564453,35.26719665527344,16.197845458984375,28.1176700592041,13.82905101776123,45.27170944213867,27.62802124023437,23.818675994873047,4.332946300506592,10.317681312561035,63.91399765014648,18.36742401123047,40.17043685913086,46.99216842651367,33.59674453735352,18.53813743591309,29.23483085632324,13.912588119506836,26.41390991210937,20.65601921081543
2008-04-01,51.50638198852539,41.03436279296875,44.20225524902344,55.88417434692383,15.33942985534668,12.675318717956545,135.0916290283203,33.73893356323242,13.557524681091309,34.00545120239258,20.57862663269043,35.98809814453125,16.79627227783203,30.769058227539062,14.148337364196776,46.00359344482422,29.147727966308597,24.343935012817383,4.515018463134766,10.539507865905762,64.66338348388672,18.5394229888916,40.78968811035156,48.34782791137695,36.18642807006836,19.545574188232425,30.262863159179688,13.74526596069336,26.86002922058105,21.471193313598636
2008-04-02,50.55971908569336,40.82748031616211,43.79218292236328,56.59856414794922,15.408429145812988,12.764384269714355,135.0993194580078,34.052001953125,13.483477592468262,33.59510803222656,19.923460006713867,35.82999420166016,16.782833099365234,30.518251419067383,13.822946548461914,46.4119987487793,28.914539337158203,23.84994125366211,4.453420639038086,10.603599548339844,63.73080825805664,18.243709564208984,40.44291305541992,49.18122482299805,35.84831619262695,19.326854705810547,30.23736572265625,13.90367031097412,26.56542015075684,21.223726272583008
